Test Case ID,Test Case,Step,Action,Expected Result,Status,Tested By,Date,Notes
TC-1,Add a New Creator,1.1,Sign in as Admin,Settings shows admin panel access,,,
TC-1,Add a New Creator,1.2,"Go to Settings → Admin → Settings tab (⚙️)",Team Members section visible,,,
TC-1,Add a New Creator,1.3,Enter test user's email,Email field accepts input,,,
TC-1,Add a New Creator,1.4,"Select ""Content"" from role dropdown",Content selected,,,
TC-1,Add a New Creator,1.5,Click Add,"Alert: ""Added [email] — welcome email sent!""",,,
TC-1,Add a New Creator,1.6,Verify welcome email received,Test user gets welcome email in inbox,,,
TC-1,Add a New Creator,1.7,Ask test user to sign out and sign back in,User can sign back in successfully,,,
TC-1,Add a New Creator,1.8,Test user goes to CREATE tab,"""Write for the Community"" section visible below AI Story Generator",,,
TC-1,Add a New Creator,1.9,Verify test user does NOT see Admin panel,Admin tab should NOT appear in Settings,,,
TC-2,Create a Public Story,2.1,"As creator, go to CREATE tab","""Write for the Community"" visible with two buttons",,,
TC-2,Create a Public Story,2.2,"Tap ""Write a Story""",Story form opens with all fields,,,
TC-2,Create a Public Story,2.3,"Fill in: Title = ""Test Story by [Name]""",Title accepted,,,
TC-2,Create a Public Story,2.4,"Select Tradition = ""Universal""",Dropdown works,,,
TC-2,Create a Public Story,2.5,"Select Theme = ""Kindness""",Dropdown works,,,
TC-2,Create a Public Story,2.6,"Enter Source = ""Original story""",Field accepts input,,,
TC-2,Create a Public Story,2.7,"Write story body (100+ words), include {childName}",Body accepted — word count shows below,,,
TC-2,Create a Public Story,2.8,End story with: That night {childName} remember...,Gentle bedtime ending included,,,
TC-2,Create a Public Story,2.9,Upload cover image (optional),Image preview shows,,,
TC-2,Create a Public Story,2.10,"Tap ""Submit""","Toast: ""Story submitted! We'll review within 48 hours.""",,,
TC-2,Create a Public Story,2.11,"Check ""My Creations"" tab","Story shows with ""Pending"" badge",,,
TC-3,Create a Public Series (2 Episodes),3.1,"Go to CREATE → ""Create a Series""",Series form opens,,,
TC-3,Create a Public Series (2 Episodes),3.2,"Fill in: Title, Description, Icon emoji, Age Range",All fields accept input,,,
TC-3,Create a Public Series (2 Episodes),3.3,"Verify visibility toggle shows ""Public"" and ""Personal""",Both options visible,,,
TC-3,Create a Public Series (2 Episodes),3.4,"Select ""Public""","""Published for everyone after review."" message shows",,,
TC-3,Create a Public Series (2 Episodes),3.5,"Add Episode 1: Title, Subtitle, Body (100+ words with {childName})",Episode 1 added successfully,,,
TC-3,Create a Public Series (2 Episodes),3.6,"Add Episode 2: Title, Subtitle, Body (100+ words)",Episode 2 added successfully,,,
TC-3,Create a Public Series (2 Episodes),3.7,"Tap ""Submit Series""","Toast: ""Series submitted! We'll review within 48 hours.""",,,
TC-3,Create a Public Series (2 Episodes),3.8,"Check ""My Creations"" tab","Series shows with ""Pending"" badge, 2 episodes listed",,,
TC-4,Create a Personal Series,4.1,"Go to CREATE → ""Create a Series""",Series form opens,,,
TC-4,Create a Personal Series,4.2,"Select ""Personal"" visibility","""Only visible to you and people you share with."" message shows",,,
TC-4,Create a Personal Series,4.3,Enter shared emails (comma-separated),Email input field appears and accepts emails,,,
TC-4,Create a Personal Series,4.4,Add 1-2 episodes with body text,Episodes added,,,
TC-4,Create a Personal Series,4.5,"Tap ""Submit Series""","Toast: ""Personal series created!"" (instant, no review needed)",,,
TC-4,Create a Personal Series,4.6,"Check ""My Creations"" tab","Series shows with ""Personal"" badge immediately",,,
TC-4,Create a Personal Series,4.7,"Shared user signs in → Home → ""Shared with me""",Personal series visible and playable for shared user,,,
TC-4,Create a Personal Series,4.8,Non-shared user visits creator profile,Personal series visible but greyed out and NOT clickable,,,
TC-5,Admin Review & Publish,5.1,Sign in as Admin,Admin access confirmed,,,
TC-5,Admin Review & Publish,5.2,"Go to Admin → Story Studio → ""Review & Publish"" tab",Submissions list visible with pending items,,,
TC-5,Admin Review & Publish,5.3,Find the pending story/series from TC-2/TC-3,"Shows with ""Pending"" badge and creator name",,,
TC-5,Admin Review & Publish,5.4,Click to expand the submission,Full content visible — story body or all episodes expandable,,,
TC-5,Admin Review & Publish,5.5,Read each episode content,Content is scrollable — word count visible,,,
TC-5,Admin Review & Publish,5.6,"Test ""Request Edits"" button","Status changes to ""revision_requested""",,,
TC-5,Admin Review & Publish,5.7,Verify creator sees updated status,"Creator's My Creations shows ""Needs Edits"" status",,,
TC-5,Admin Review & Publish,5.8,"Click ""Approve""","Status changes to ""Approved""",,,
TC-5,Admin Review & Publish,5.9,"Click ""Publish""","Status changes to ""Published"" with green badge",,,
TC-5,Admin Review & Publish,5.10,Generate audio for published series,"Go to Story Studio → Series tab → search for series → generate audio with ElevenLabs",,,
TC-5,Admin Review & Publish,5.11,Generate cover images,"Story Studio → Series tab → generate images with Gemini AI",,,
TC-6,Verify Published Content,6.1,Go to /creators page,New creator appears in the creator list with avatar,,,
TC-6,Verify Published Content,6.2,Click on creator's name/avatar,Profile page loads at /creator/[username],,,
TC-6,Verify Published Content,6.3,Verify published series shows full color + clickable,Card is NOT greyed out — clickable,,,
TC-6,Verify Published Content,6.4,"Verify personal series shows greyed out for non-shared users","Opacity 40%, not clickable, ""Personal"" badge visible",,,
TC-6,Verify Published Content,6.5,"Verify stats: series count, episode count, stories count",Numbers match what was submitted,,,
TC-6,Verify Published Content,6.6,"Click ""All Creators →"" link at top right",Navigates back to /creators page,,,
TC-6,Verify Published Content,6.7,Tap the published series card,Navigates to series detail page with all episodes,,,
TC-6,Verify Published Content,6.8,Play Episode 1,Audio generates via TTS and plays correctly,,,
TC-6,Verify Published Content,6.9,Search for the story/series title on home page,Story appears in search results,,,
TC-6,Verify Published Content,6.10,Check series detail page for episode count,All submitted episodes visible and playable,,,
TC-7,Edge Cases,7.1,Non-creator user goes to CREATE tab,"Does NOT see ""Write for the Community"" section — only AI Story Generator",,,
TC-7,Edge Cases,7.2,Creator tries to access /admin URL directly,Should NOT load admin panel — redirects or shows unauthorized,,,
TC-7,Edge Cases,7.3,Admin unpublishes a published story,"Status reverts to ""Pending"" — disappears from public views",,,
TC-7,Edge Cases,7.4,Creator submits story with < 100 words,Submit button is disabled/greyed out,,,
TC-7,Edge Cases,7.5,Creator submits without a title,Submit button is disabled/greyed out,,,
TC-7,Edge Cases,7.6,"Creator uses {childName} in story body",Token appears in text — gets replaced with child's name during audio playback,,,
